Timestamp,Src_IP,Dst_IP,Proto,Port,Len,Alerts
08:53:18,192.168.226.128,184.105.99.43,TCP,443,205,None
08:53:18,192.168.226.128,184.105.99.43,TCP,443,570,None
08:53:18,184.105.99.43,192.168.226.128,TCP,42404,60,None
08:53:18,184.105.99.43,192.168.226.128,TCP,42404,60,None
08:53:18,184.105.99.43,192.168.226.128,TCP,42404,102,None
08:53:18,192.168.226.128,184.105.99.43,TCP,443,54,None
08:53:18,184.105.99.43,192.168.226.128,TCP,42404,608,None
08:53:18,192.168.226.128,184.105.99.43,TCP,443,54,None
08:53:22,192.168.226.128,192.168.226.2,UDP,53,74,None
08:53:22,192.168.226.128,192.168.226.2,UDP,53,74,None
08:53:22,192.168.226.128,192.168.226.2,UDP,53,74,None
08:53:22,192.168.226.2,192.168.226.128,UDP,59402,143,None
08:53:22,192.168.226.2,192.168.226.128,UDP,38505,90,None
08:53:22,192.168.226.2,192.168.226.128,UDP,38505,102,None
08:53:22,192.168.226.128,172.217.24.100,UDP,443,1294,None
08:53:22,192.168.226.128,172.217.24.100,UDP,443,1294,None
08:53:22,192.168.226.128,172.217.24.100,UDP,443,1294,None
08:53:22,192.168.226.128,172.217.24.100,UDP,443,1294,None
08:53:22,192.168.226.128,172.217.24.100,UDP,443,1200,None
08:53:22,172.217.24.100,192.168.226.128,UDP,51051,85,None
08:53:22,172.217.24.100,192.168.226.128,UDP,51051,85,None
08:53:22,172.217.24.100,192.168.226.128,UDP,51051,1294,None
08:53:22,172.217.24.100,192.168.226.128,UDP,51051,1294,None
08:53:22,192.168.226.128,172.217.24.100,UDP,443,1294,None
08:53:22,192.168.226.128,172.217.24.100,UDP,443,845,None
08:53:22,172.217.24.100,192.168.226.128,UDP,51051,1294,None
08:53:22,172.217.24.100,192.168.226.128,UDP,51051,1294,None
08:53:22,172.217.24.100,192.168.226.128,UDP,51051,351,None
08:53:22,192.168.226.128,172.217.24.100,UDP,443,200,None
08:53:22,172.217.24.100,192.168.226.128,UDP,51051,659,None
08:53:22,172.217.24.100,192.168.226.128,UDP,51051,70,None
08:53:22,172.217.24.100,192.168.226.128,UDP,51051,165,None
08:53:22,172.217.24.100,192.168.226.128,UDP,51051,67,None
08:53:22,192.168.226.128,172.217.24.100,UDP,443,73,None
08:53:22,172.217.24.100,192.168.226.128,UDP,51051,1172,None
08:53:22,192.168.226.128,172.217.24.100,UDP,443,78,None
08:53:22,172.217.24.100,192.168.226.128,UDP,51051,1172,None
08:53:22,172.217.24.100,192.168.226.128,UDP,51051,1290,None
08:53:22,172.217.24.100,192.168.226.128,UDP,51051,1294,None
08:53:22,172.217.24.100,192.168.226.128,UDP,51051,1294,None
08:53:22,172.217.24.100,192.168.226.128,UDP,51051,1294,None
08:53:22,172.217.24.100,192.168.226.128,UDP,51051,1294,None
08:53:22,172.217.24.100,192.168.226.128,UDP,51051,1294,None
08:53:22,172.217.24.100,192.168.226.128,UDP,51051,1294,None
08:53:22,172.217.24.100,192.168.226.128,UDP,51051,1294,None
08:53:22,172.217.24.100,192.168.226.128,UDP,51051,1294,None
08:53:22,172.217.24.100,192.168.226.128,UDP,51051,1294,None
08:53:22,172.217.24.100,192.168.226.128,UDP,51051,1294,None
08:53:22,172.217.24.100,192.168.226.128,UDP,51051,1294,None
08:53:22,172.217.24.100,192.168.226.128,UDP,51051,1294,None
08:53:22,172.217.24.100,192.168.226.128,UDP,51051,498,None
08:53:22,172.217.24.100,192.168.226.128,UDP,51051,1287,None
08:53:22,172.217.24.100,192.168.226.128,UDP,51051,1294,None
08:53:22,192.168.226.128,172.217.24.100,UDP,443,75,None
08:53:22,172.217.24.100,192.168.226.128,UDP,51051,1294,None
08:53:22,172.217.24.100,192.168.226.128,UDP,51051,157,None
08:53:22,172.217.24.100,192.168.226.128,UDP,51051,1172,None
08:53:22,192.168.226.128,172.217.24.100,UDP,443,77,None
08:53:22,192.168.226.128,172.217.24.100,UDP,443,1294,None
08:53:22,192.168.226.128,172.217.24.100,UDP,443,911,None
08:53:22,172.217.24.100,192.168.226.128,UDP,51051,68,None
08:53:22,192.168.226.128,172.217.24.100,UDP,443,911,None
08:53:22,192.168.226.128,172.217.24.100,UDP,443,71,None
08:53:22,172.217.24.100,192.168.226.128,UDP,51051,73,None
08:53:22,192.168.226.128,172.217.24.100,UDP,443,73,None
08:53:22,172.217.24.100,192.168.226.128,UDP,51051,70,None
08:53:22,172.217.24.100,192.168.226.128,UDP,51051,68,None
08:53:22,192.168.226.128,192.168.226.2,UDP,53,74,None
08:53:22,192.168.226.128,192.168.226.2,UDP,53,74,None
08:53:22,192.168.226.128,192.168.226.2,UDP,53,74,None
08:53:22,192.168.226.2,192.168.226.128,UDP,52583,144,None
08:53:22,192.168.226.2,192.168.226.128,UDP,49861,110,None
08:53:22,192.168.226.2,192.168.226.128,UDP,49861,122,None
08:53:22,192.168.226.128,142.250.207.78,UDP,443,1294,None
08:53:22,192.168.226.128,142.250.207.78,UDP,443,1294,None
08:53:22,192.168.226.128,142.250.207.78,UDP,443,1294,None
08:53:22,192.168.226.128,142.250.207.78,UDP,443,1294,None
08:53:22,192.168.226.128,142.250.207.78,UDP,443,450,None
08:53:22,142.250.207.78,192.168.226.128,UDP,50159,85,None
08:53:22,142.250.207.78,192.168.226.128,UDP,50159,85,None
08:53:22,142.250.207.78,192.168.226.128,UDP,50159,1294,None
